,source_target,source,sourceID,target,targetID,movies,moviesID,connections_y
72,Abani Mukherjee Kamu Mukherjee,Abani Mukherjee,nm0611505,Kamu Mukherjee,nm0611536,The Adventures of Goopy and Bagha,tt0063023,1
73,Abani Mukherjee Kartik Chanda,Abani Mukherjee,nm0611505,Kartik Chanda,nm5570286,Abhijaan,tt0055724,1
74,Abani Mukherjee Kartik Chatterjee,Abani Mukherjee,nm0611505,Kartik Chatterjee,nm0154135,The Adventures of Goopy and Bagha,tt0063023,1
75,Abani Mukherjee Kartik Mukhopadhyay,Abani Mukherjee,nm0611505,Kartik Mukhopadhyay,nm5570269,Abhijaan,tt0055724,1
76,Abani Mukherjee Khagen Pathak,Abani Mukherjee,nm0611505,Khagen Pathak,nm0665546,The Adventures of Goopy and Bagha,tt0063023,1
77,Abani Mukherjee Krishnakali Bhattacharya,Abani Mukherjee,nm0611505,Krishnakali Bhattacharya,nm5024420,Abhijaan,tt0055724,1
78,Abani Mukherjee Mahin Basu,Abani Mukherjee,nm0611505,Mahin Basu,nm5570216,Abhijaan,tt0055724,1
79,Abani Mukherjee Mani Srimani,Abani Mukherjee,nm0611505,Mani Srimani,nm0820248,The Adventures of Goopy and Bagha,tt0063023,1
80,Abani Mukherjee Moloy Roy,Abani Mukherjee,nm0611505,Moloy Roy,nm4427660,Joi Baba Felunath: The Elephant God,tt0077775,1
81,Abani Mukherjee Monu Mukherjee,Abani Mukherjee,nm0611505,Monu Mukherjee,nm0611540,Joi Baba Felunath: The Elephant God,tt0077775,1
82,Abani Mukherjee Narayan Das,Abani Mukherjee,nm0611505,Narayan Das,nm5024440,Abhijaan,tt0055724,1
83,Abani Mukherjee Noni Ganguly,Abani Mukherjee,nm0611505,Noni Ganguly,nm0304363,Abhijaan,tt0055724,1
84,Abani Mukherjee Nripati Chatterjee,Abani Mukherjee,nm0611505,Nripati Chatterjee,nm0154142,The Adventures of Goopy and Bagha,tt0063023,1
85,Abani Mukherjee Pannalal Yadav,Abani Mukherjee,nm0611505,Pannalal Yadav,nm4814570,Joi Baba Felunath: The Elephant God,tt0077775,1
86,Abani Mukherjee Parinita Banerjee,Abani Mukherjee,nm0611505,Parinita Banerjee,nm4814615,Joi Baba Felunath: The Elephant God,tt0077775,1
87,Abani Mukherjee Prasad Mukherjee,Abani Mukherjee,nm0611505,Prasad Mukherjee,nm0611546,The Adventures of Goopy and Bagha,tt0063023,1
88,Abani Mukherjee Preeti Majumdar,Abani Mukherjee,nm0611505,Preeti Majumdar,nm0538299,The Adventures of Goopy and Bagha,tt0063023,1
89,Abani Mukherjee Rabi Ghosh,Abani Mukherjee,nm0611505,Rabi Ghosh,nm0315917,Abhijaan,tt0055724,1
90,Abani Mukherjee Rabi Ghosh,Abani Mukherjee,nm0611505,Rabi Ghosh,nm0315917,The Adventures of Goopy and Bagha,tt0063023,1
