,source_target,source,sourceID,target,targetID,movies,moviesID,connections_y,
69,Ajit Banerjee Uttamram Nagar,Ajit Banerjee,nm0051830,Uttamram Nagar,nm1840054,The Middleman,The Middleman,1,FALSE
70,Ajoy Banerjee Abani Mukherjee,Ajoy Banerjee,nm0051831,Abani Mukherjee,nm0611505,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
74,Ajoy Banerjee Ashok Mitra,Ajoy Banerjee,nm0051831,Ashok Mitra,nm1371495,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
75,Ajoy Banerjee Bimal Chatterjee,Ajoy Banerjee,nm0051831,Bimal Chatterjee,nm0154115,The Golden Fortress,The Golden Fortress,1,FALSE
76,Ajoy Banerjee Bimal Chatterjee,Ajoy Banerjee,nm0051831,Bimal Chatterjee,nm0154115,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
77,Ajoy Banerjee Dibyendu Chatterjee,Ajoy Banerjee,nm0051831,Dibyendu Chatterjee,nm4814634,The Golden Fortress,The Golden Fortress,1,FALSE
78,Ajoy Banerjee Gopal Dey,Ajoy Banerjee,nm0051831,Gopal Dey,nm0223342,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
79,Ajoy Banerjee Gopal Dey,Ajoy Banerjee,nm0051831,Gopal Dey,nm0223342,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
80,Ajoy Banerjee Govinda Chakravarti,Ajoy Banerjee,nm0051831,Govinda Chakravarti,nm0149838,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
81,Ajoy Banerjee Govinda Chakravarti,Ajoy Banerjee,nm0051831,Govinda Chakravarti,nm0149838,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
82,Ajoy Banerjee Haradhan Bannerjee,Ajoy Banerjee,nm0051831,Haradhan Bannerjee,nm0052329,The Golden Fortress,The Golden Fortress,1,FALSE
83,Ajoy Banerjee Haridhan Mukherjee,Ajoy Banerjee,nm0051831,Haridhan Mukherjee,nm0154128,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
84,Ajoy Banerjee Haridhan Mukherjee,Ajoy Banerjee,nm0051831,Haridhan Mukherjee,nm0154128,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
85,Ajoy Banerjee Harindranath Chattopadhyay,Ajoy Banerjee,nm0051831,Harindranath Chattopadhyay,nm0154129,The Golden Fortress,The Golden Fortress,1,FALSE
86,Ajoy Banerjee Harindranath Chattopadhyay,Ajoy Banerjee,nm0051831,Harindranath Chattopadhyay,nm0154129,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
87,Ajoy Banerjee Kamu Mukherjee,Ajoy Banerjee,nm0051831,Kamu Mukherjee,nm0611536,The Golden Fortress,The Golden Fortress,1,FALSE
88,Ajoy Banerjee Kamu Mukherjee,Ajoy Banerjee,nm0051831,Kamu Mukherjee,nm0611536,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
89,Ajoy Banerjee Kamu Mukherjee,Ajoy Banerjee,nm0051831,Kamu Mukherjee,nm0611536,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
90,Ajoy Banerjee Kartik Chatterjee,Ajoy Banerjee,nm0051831,Kartik Chatterjee,nm0154135,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
91,Ajoy Banerjee Kartik Chatterjee,Ajoy Banerjee,nm0051831,Kartik Chatterjee,nm0154135,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
92,Ajoy Banerjee Khagen Pathak,Ajoy Banerjee,nm0051831,Khagen Pathak,nm0665546,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
93,Ajoy Banerjee Mani Srimani,Ajoy Banerjee,nm0051831,Mani Srimani,nm0820248,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
94,Ajoy Banerjee Noni Ganguly,Ajoy Banerjee,nm0051831,Noni Ganguly,nm0304363,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
95,Ajoy Banerjee Nripati Chatterjee,Ajoy Banerjee,nm0051831,Nripati Chatterjee,nm0154142,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
96,Ajoy Banerjee Prasad Mukherjee,Ajoy Banerjee,nm0051831,Prasad Mukherjee,nm0611546,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
97,Ajoy Banerjee Promode Ganguly,Ajoy Banerjee,nm0051831,Promode Ganguly,nm0304365,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
98,Ajoy Banerjee Rabi Ghosh,Ajoy Banerjee,nm0051831,Rabi Ghosh,nm0315917,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
99,Ajoy Banerjee Rabi Ghosh,Ajoy Banerjee,nm0051831,Rabi Ghosh,nm0315917,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
100,Ajoy Banerjee Rajkumar Lahiri,Ajoy Banerjee,nm0051831,Rajkumar Lahiri,nm1708115,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
101,Ajoy Banerjee Rajkumar Lahiri,Ajoy Banerjee,nm0051831,Rajkumar Lahiri,nm1708115,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
102,Ajoy Banerjee Santi Chatterjee,Ajoy Banerjee,nm0051831,Santi Chatterjee,nm0154155,The Golden Fortress,The Golden Fortress,1,FALSE
103,Ajoy Banerjee Santi Chatterjee,Ajoy Banerjee,nm0051831,Santi Chatterjee,nm0154155,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
104,Ajoy Banerjee Santosh Dutta,Ajoy Banerjee,nm0051831,Santosh Dutta,nm0244904,The Golden Fortress,The Golden Fortress,1,FALSE
105,Ajoy Banerjee Santosh Dutta,Ajoy Banerjee,nm0051831,Santosh Dutta,nm0244904,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
106,Ajoy Banerjee Shailen Ganguli,Ajoy Banerjee,nm0051831,Shailen Ganguli,nm0304352,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
107,Ajoy Banerjee Shailen Ganguli,Ajoy Banerjee,nm0051831,Shailen Ganguli,nm0304352,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
108,Ajoy Banerjee Shailen Mukherjee,Ajoy Banerjee,nm0051831,Shailen Mukherjee,nm0611561,The Golden Fortress,The Golden Fortress,1,FALSE
109,Ajoy Banerjee Sunil Sarkar,Ajoy Banerjee,nm0051831,Sunil Sarkar,nm0765281,The Golden Fortress,The Golden Fortress,1,FALSE
110,Ajoy Banerjee Sunil Sarkar,Ajoy Banerjee,nm0051831,Sunil Sarkar,nm0765281,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
111,Ajoy Banerjee Tapan Chatterjee,Ajoy Banerjee,nm0051831,Tapan Chatterjee,nm0154170,Heerak Rajar Deshe,Heerak Rajar Deshe,1,FALSE
112,Ajoy Banerjee Tapan Chatterjee,Ajoy Banerjee,nm0051831,Tapan Chatterjee,nm0154170,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
