,source_target,year_x,source,sourceID,target,targetID,movie,year_y,connections_y
35,Abani Mukherjee Utpal Dutt,1979,Abani Mukherjee,nm0611505,Utpal Dutt,nm0244884,Joi Baba Felunath: The Elephant God,1979,1
36,Ajit Banerjee Abani Mukherjee,1962,Ajit Banerjee,nm0051830,Abani Mukherjee,nm0611505,Abhijaan,1962,1
37,Ajit Banerjee Ajit Banerjee,7918,Ajit Banerjee,nm0051830,Ajit Banerjee,nm0051830,Branches of the Tree,1990,1
38,Ajit Banerjee Ajit Banerjee,7918,Ajit Banerjee,nm0051830,Ajit Banerjee,nm0051830,Abhijaan,1962,1
39,Ajit Banerjee Ajit Banerjee,7918,Ajit Banerjee,nm0051830,Ajit Banerjee,nm0051830,The Middleman,1975,1
40,Ajit Banerjee Ajit Banerjee,7918,Ajit Banerjee,nm0051830,Ajit Banerjee,nm0051830,The Stranger,1991,1
41,Ajit Banerjee Aparna Sen,1975,Ajit Banerjee,nm0051830,Aparna Sen,nm0031967,The Middleman,1975,1
42,Ajit Banerjee Bimal Chatterjee,1975,Ajit Banerjee,nm0051830,Bimal Chatterjee,nm0154115,The Middleman,1975,1
43,Ajit Banerjee Bireswar Sen,1962,Ajit Banerjee,nm0051830,Bireswar Sen,nm0784001,Abhijaan,1962,1
44,Ajit Banerjee Charuprakash Ghosh,1962,Ajit Banerjee,nm0051830,Charuprakash Ghosh,nm0315882,Abhijaan,1962,1
45,Ajit Banerjee Dhritiman Chatterjee,1991,Ajit Banerjee,nm0051830,Dhritiman Chatterjee,nm0154122,The Stranger,1991,1
46,Ajit Banerjee Dipankar Dey,5956,Ajit Banerjee,nm0051830,Dipankar Dey,nm0212541,Branches of the Tree,1990,1
47,Ajit Banerjee Dipankar Dey,5956,Ajit Banerjee,nm0051830,Dipankar Dey,nm0212541,The Middleman,1975,1
48,Ajit Banerjee Dipankar Dey,5956,Ajit Banerjee,nm0051830,Dipankar Dey,nm0212541,The Stranger,1991,1
49,Ajit Banerjee Haradhan Bannerjee,1990,Ajit Banerjee,nm0051830,Haradhan Bannerjee,nm0052329,Branches of the Tree,1990,1
50,Ajit Banerjee Haridhan Nag,1962,Ajit Banerjee,nm0051830,Haridhan Nag,nm5570266,Abhijaan,1962,1
51,Ajit Banerjee Kalyan Sen,1975,Ajit Banerjee,nm0051830,Kalyan Sen,nm4474657,The Middleman,1975,1
52,Ajit Banerjee Kamu Mukherjee,1990,Ajit Banerjee,nm0051830,Kamu Mukherjee,nm0611536,Branches of the Tree,1990,1
53,Ajit Banerjee Kartik Chatterjee,1975,Ajit Banerjee,nm0051830,Kartik Chatterjee,nm0154135,The Middleman,1975,1
54,Ajit Banerjee Khagen Pathak,1975,Ajit Banerjee,nm0051830,Khagen Pathak,nm0665546,The Middleman,1975,1
55,Ajit Banerjee Mamata Shankar,3981,Ajit Banerjee,nm0051830,Mamata Shankar,nm0788164,Branches of the Tree,1990,1
56,Ajit Banerjee Mamata Shankar,3981,Ajit Banerjee,nm0051830,Mamata Shankar,nm0788164,The Stranger,1991,1
57,Ajit Banerjee Mani Srimani,1975,Ajit Banerjee,nm0051830,Mani Srimani,nm0820248,The Middleman,1975,1
58,Ajit Banerjee Noni Ganguly,1962,Ajit Banerjee,nm0051830,Noni Ganguly,nm0304363,Abhijaan,1962,1
59,Ajit Banerjee Padmadevi,1975,Ajit Banerjee,nm0051830,Padmadevi,nm0222471,The Middleman,1975,1
60,Ajit Banerjee Promode Ganguly,3981,Ajit Banerjee,nm0051830,Promode Ganguly,nm0304365,Branches of the Tree,1990,1
61,Ajit Banerjee Promode Ganguly,3981,Ajit Banerjee,nm0051830,Promode Ganguly,nm0304365,The Stranger,1991,1
62,Ajit Banerjee Rabi Ghosh,3937,Ajit Banerjee,nm0051830,Rabi Ghosh,nm0315917,Abhijaan,1962,1
63,Ajit Banerjee Rabi Ghosh,3937,Ajit Banerjee,nm0051830,Rabi Ghosh,nm0315917,The Middleman,1975,1
64,Ajit Banerjee Santi Chatterjee,1962,Ajit Banerjee,nm0051830,Santi Chatterjee,nm0154155,Abhijaan,1962,1
65,Ajit Banerjee Satya Banerjee,1975,Ajit Banerjee,nm0051830,Satya Banerjee,nm0051810,The Middleman,1975,1
66,Ajit Banerjee Soven Lahiri,3965,Ajit Banerjee,nm0051830,Soven Lahiri,nm0481574,Branches of the Tree,1990,1
67,Ajit Banerjee Soven Lahiri,3965,Ajit Banerjee,nm0051830,Soven Lahiri,nm0481574,The Middleman,1975,1
68,Ajit Banerjee Tarun Mitra,1990,Ajit Banerjee,nm0051830,Tarun Mitra,nm0593973,Branches of the Tree,1990,1
69,Ajit Banerjee Utpal Dutt,3966,Ajit Banerjee,nm0051830,Utpal Dutt,nm0244884,The Middleman,1975,1
70,Ajit Banerjee Utpal Dutt,3966,Ajit Banerjee,nm0051830,Utpal Dutt,nm0244884,The Stranger,1991,1
71,Ajit Banerjee Uttamram Nagar,1975,Ajit Banerjee,nm0051830,Uttamram Nagar,nm1840054,The Middleman,1975,1
72,Ajoy Banerjee Abani Mukherjee,1969,Ajoy Banerjee,nm0051831,Abani Mukherjee,nm0611505,The Adventures of Goopy and Bagha,1969,1
73,Ajoy Banerjee Ajoy Banerjee,7894,Ajoy Banerjee,nm0051831,Ajoy Banerjee,nm0051831,The Golden Fortress,1974,1
74,Ajoy Banerjee Ajoy Banerjee,7894,Ajoy Banerjee,nm0051831,Ajoy Banerjee,nm0051831,Heerak Rajar Deshe,1980,1
75,Ajoy Banerjee Ajoy Banerjee,7894,Ajoy Banerjee,nm0051831,Ajoy Banerjee,nm0051831,The Adventures of Goopy and Bagha,1969,1
76,Ajoy Banerjee Ajoy Banerjee,7894,Ajoy Banerjee,nm0051831,Ajoy Banerjee,nm0051831,Company Limited,1971,1
77,Ajoy Banerjee Ashok Mitra,1969,Ajoy Banerjee,nm0051831,Ashok Mitra,nm1371495,The Adventures of Goopy and Bagha,1969,1
78,Ajoy Banerjee Bimal Chatterjee,3954,Ajoy Banerjee,nm0051831,Bimal Chatterjee,nm0154115,The Golden Fortress,1974,1
79,Ajoy Banerjee Bimal Chatterjee,3954,Ajoy Banerjee,nm0051831,Bimal Chatterjee,nm0154115,Heerak Rajar Deshe,1980,1
80,Ajoy Banerjee Dibyendu Chatterjee,1974,Ajoy Banerjee,nm0051831,Dibyendu Chatterjee,nm4814634,The Golden Fortress,1974,1
81,Ajoy Banerjee Dipankar Dey,1971,Ajoy Banerjee,nm0051831,Dipankar Dey,nm0212541,Company Limited,1971,1
82,Ajoy Banerjee Gopal Dey,3949,Ajoy Banerjee,nm0051831,Gopal Dey,nm0223342,Heerak Rajar Deshe,1980,1
83,Ajoy Banerjee Gopal Dey,3949,Ajoy Banerjee,nm0051831,Gopal Dey,nm0223342,The Adventures of Goopy and Bagha,1969,1
84,Ajoy Banerjee Govinda Chakravarti,3949,Ajoy Banerjee,nm0051831,Govinda Chakravarti,nm0149838,Heerak Rajar Deshe,1980,1
85,Ajoy Banerjee Govinda Chakravarti,3949,Ajoy Banerjee,nm0051831,Govinda Chakravarti,nm0149838,The Adventures of Goopy and Bagha,1969,1
86,Ajoy Banerjee Haradhan Bannerjee,1974,Ajoy Banerjee,nm0051831,Haradhan Bannerjee,nm0052329,The Golden Fortress,1974,1
87,Ajoy Banerjee Haridhan Mukherjee,3949,Ajoy Banerjee,nm0051831,Haridhan Mukherjee,nm0154128,Heerak Rajar Deshe,1980,1
88,Ajoy Banerjee Haridhan Mukherjee,3949,Ajoy Banerjee,nm0051831,Haridhan Mukherjee,nm0154128,The Adventures of Goopy and Bagha,1969,1
89,Ajoy Banerjee Harindranath Chattopadhyay,5914,Ajoy Banerjee,nm0051831,Harindranath Chattopadhyay,nm0154129,The Golden Fortress,1974,1
90,Ajoy Banerjee Harindranath Chattopadhyay,5914,Ajoy Banerjee,nm0051831,Harindranath Chattopadhyay,nm0154129,The Adventures of Goopy and Bagha,1969,1
91,Ajoy Banerjee Harindranath Chattopadhyay,5914,Ajoy Banerjee,nm0051831,Harindranath Chattopadhyay,nm0154129,Company Limited,1971,1
92,Ajoy Banerjee Kalyan Sen,1971,Ajoy Banerjee,nm0051831,Kalyan Sen,nm4474657,Company Limited,1971,1
93,Ajoy Banerjee Kamu Mukherjee,3954,Ajoy Banerjee,nm0051831,Kamu Mukherjee,nm0611536,The Golden Fortress,1974,1
94,Ajoy Banerjee Kamu Mukherjee,3954,Ajoy Banerjee,nm0051831,Kamu Mukherjee,nm0611536,Heerak Rajar Deshe,1980,1
95,Ajoy Banerjee Kartik Chatterjee,3949,Ajoy Banerjee,nm0051831,Kartik Chatterjee,nm0154135,Heerak Rajar Deshe,1980,1
96,Ajoy Banerjee Kartik Chatterjee,3949,Ajoy Banerjee,nm0051831,Kartik Chatterjee,nm0154135,The Adventures of Goopy and Bagha,1969,1
97,Ajoy Banerjee Khagen Pathak,1969,Ajoy Banerjee,nm0051831,Khagen Pathak,nm0665546,The Adventures of Goopy and Bagha,1969,1
98,Ajoy Banerjee Mani Srimani,1969,Ajoy Banerjee,nm0051831,Mani Srimani,nm0820248,The Adventures of Goopy and Bagha,1969,1
99,Ajoy Banerjee Noni Ganguly,1980,Ajoy Banerjee,nm0051831,Noni Ganguly,nm0304363,Heerak Rajar Deshe,1980,1
100,Ajoy Banerjee Nripati Chatterjee,1969,Ajoy Banerjee,nm0051831,Nripati Chatterjee,nm0154142,The Adventures of Goopy and Bagha,1969,1
101,Ajoy Banerjee Prasad Mukherjee,1969,Ajoy Banerjee,nm0051831,Prasad Mukherjee,nm0611546,The Adventures of Goopy and Bagha,1969,1
102,Ajoy Banerjee Promode Ganguly,3951,Ajoy Banerjee,nm0051831,Promode Ganguly,nm0304365,Heerak Rajar Deshe,1980,1
103,Ajoy Banerjee Promode Ganguly,3951,Ajoy Banerjee,nm0051831,Promode Ganguly,nm0304365,Company Limited,1971,1
104,Ajoy Banerjee Rabi Ghosh,3949,Ajoy Banerjee,nm0051831,Rabi Ghosh,nm0315917,Heerak Rajar Deshe,1980,1
105,Ajoy Banerjee Rabi Ghosh,3949,Ajoy Banerjee,nm0051831,Rabi Ghosh,nm0315917,The Adventures of Goopy and Bagha,1969,1
106,Ajoy Banerjee Rajkumar Lahiri,3949,Ajoy Banerjee,nm0051831,Rajkumar Lahiri,nm1708115,Heerak Rajar Deshe,1980,1
107,Ajoy Banerjee Rajkumar Lahiri,3949,Ajoy Banerjee,nm0051831,Rajkumar Lahiri,nm1708115,The Adventures of Goopy and Bagha,1969,1
108,Ajoy Banerjee Santi Chatterjee,3943,Ajoy Banerjee,nm0051831,Santi Chatterjee,nm0154155,The Golden Fortress,1974,1
109,Ajoy Banerjee Santi Chatterjee,3943,Ajoy Banerjee,nm0051831,Santi Chatterjee,nm0154155,The Adventures of Goopy and Bagha,1969,1
110,Ajoy Banerjee Santosh Dutta,5923,Ajoy Banerjee,nm0051831,Santosh Dutta,nm0244904,The Golden Fortress,1974,1
111,Ajoy Banerjee Santosh Dutta,5923,Ajoy Banerjee,nm0051831,Santosh Dutta,nm0244904,Heerak Rajar Deshe,1980,1
112,Ajoy Banerjee Santosh Dutta,5923,Ajoy Banerjee,nm0051831,Santosh Dutta,nm0244904,The Adventures of Goopy and Bagha,1969,1
113,Ajoy Banerjee Shailen Ganguli,3949,Ajoy Banerjee,nm0051831,Shailen Ganguli,nm0304352,Heerak Rajar Deshe,1980,1
114,Ajoy Banerjee Shailen Ganguli,3949,Ajoy Banerjee,nm0051831,Shailen Ganguli,nm0304352,The Adventures of Goopy and Bagha,1969,1
115,Ajoy Banerjee Shailen Mukherjee,1974,Ajoy Banerjee,nm0051831,Shailen Mukherjee,nm0611561,The Golden Fortress,1974,1
116,Ajoy Banerjee Sharmila Tagore,1971,Ajoy Banerjee,nm0051831,Sharmila Tagore,nm0846616,Company Limited,1971,1
117,Ajoy Banerjee Sunil Sarkar,3954,Ajoy Banerjee,nm0051831,Sunil Sarkar,nm0765281,The Golden Fortress,1974,1
118,Ajoy Banerjee Sunil Sarkar,3954,Ajoy Banerjee,nm0051831,Sunil Sarkar,nm0765281,Heerak Rajar Deshe,1980,1
119,Ajoy Banerjee Tapan Chatterjee,3949,Ajoy Banerjee,nm0051831,Tapan Chatterjee,nm0154170,Heerak Rajar Deshe,1980,1
120,Ajoy Banerjee Tapan Chatterjee,3949,Ajoy Banerjee,nm0051831,Tapan Chatterjee,nm0154170,The Adventures of Goopy and Bagha,1969,1
121,Ajoy Banerjee Tarun Mitra,3949,Ajoy Banerjee,nm0051831,Tarun Mitra,nm0593973,Heerak Rajar Deshe,1980,1
122,Ajoy Banerjee Tarun Mitra,3949,Ajoy Banerjee,nm0051831,Tarun Mitra,nm0593973,The Adventures of Goopy and Bagha,1969,1
123,Ajoy Banerjee Utpal Dutt,1980,Ajoy Banerjee,nm0051831,Utpal Dutt,nm0244884,Heerak Rajar Deshe,1980,1
124,Ajoy Banerjee Uttamram Nagar,1974,Ajoy Banerjee,nm0051831,Uttamram Nagar,nm1840054,The Golden Fortress,1974,1
125,Anil Chatterjee Anil Chatterjee,7846,Anil Chatterjee,nm0154110,Anil Chatterjee,nm0154110,Teen Kanya,1961,1
126,Anil Chatterjee Anil Chatterjee,7846,Anil Chatterjee,nm0154110,Anil Chatterjee,nm0154110,The Goddess,1960,1
127,Anil Chatterjee Anil Chatterjee,7846,Anil Chatterjee,nm0154110,Anil Chatterjee,nm0154110,The Big City,1963,1
128,Anil Chatterjee Anil Chatterjee,7846,Anil Chatterjee,nm0154110,Anil Chatterjee,nm0154110,Kanchenjungha,1962,1
129,Anil Chatterjee Aparna Sen,1961,Anil Chatterjee,nm0154110,Aparna Sen,nm0031967,Teen Kanya,1961,1
130,Anil Chatterjee Ashok Mitra,1963,Anil Chatterjee,nm0154110,Ashok Mitra,nm1371495,The Big City,1963,1
131,Anil Chatterjee Chhabi Biswas,3922,Anil Chatterjee,nm0154110,Chhabi Biswas,nm0084435,The Goddess,1960,1
132,Anil Chatterjee Chhabi Biswas,3922,Anil Chatterjee,nm0154110,Chhabi Biswas,nm0084435,Kanchenjungha,1962,1
133,Anil Chatterjee Gitali Roy,1963,Anil Chatterjee,nm0154110,Gitali Roy,nm0747030,The Big City,1963,1
134,Anil Chatterjee Govinda Chakravarti,1961,Anil Chatterjee,nm0154110,Govinda Chakravarti,nm0149838,Teen Kanya,1961,1
135,Anil Chatterjee Haridhan Nag,1961,Anil Chatterjee,nm0154110,Haridhan Nag,nm5570266,Teen Kanya,1961,1
136,Anil Chatterjee Kali Bannerjee,1961,Anil Chatterjee,nm0154110,Kali Bannerjee,nm0052332,Teen Kanya,1961,1
137,Anil Chatterjee Karuna Bannerjee,3922,Anil Chatterjee,nm0154110,Karuna Bannerjee,nm0052334,The Goddess,1960,1
138,Anil Chatterjee Karuna Bannerjee,3922,Anil Chatterjee,nm0154110,Karuna Bannerjee,nm0052334,Kanchenjungha,1962,1
139,Anil Chatterjee Khagen Pathak,1961,Anil Chatterjee,nm0154110,Khagen Pathak,nm0665546,Teen Kanya,1961,1
140,Anil Chatterjee Madhabi Mukherjee,1963,Anil Chatterjee,nm0154110,Madhabi Mukherjee,nm0611538,The Big City,1963,1
141,Anil Chatterjee Nripati Chatterjee,1961,Anil Chatterjee,nm0154110,Nripati Chatterjee,nm0154142,Teen Kanya,1961,1
142,Anil Chatterjee Pahadi Sanyal,1962,Anil Chatterjee,nm0154110,Pahadi Sanyal,nm0764406,Kanchenjungha,1962,1
143,Anil Chatterjee Santosh Dutta,1961,Anil Chatterjee,nm0154110,Santosh Dutta,nm0244904,Teen Kanya,1961,1
144,Anil Chatterjee Shailen Ganguli,1963,Anil Chatterjee,nm0154110,Shailen Ganguli,nm0304352,The Big City,1963,1
145,Anil Chatterjee Shailen Mukherjee,1963,Anil Chatterjee,nm0154110,Shailen Mukherjee,nm0611561,The Big City,1963,1
146,Anil Chatterjee Sharmila Tagore,1960,Anil Chatterjee,nm0154110,Sharmila Tagore,nm0846616,The Goddess,1960,1
147,Anil Chatterjee Shyamal Ghoshal,1963,Anil Chatterjee,nm0154110,Shyamal Ghoshal,nm0315929,The Big City,1963,1
148,Anil Chatterjee Subrata Sensharma,3925,Anil Chatterjee,nm0154110,Subrata Sensharma,nm0784478,The Big City,1963,1
149,Anil Chatterjee Subrata Sensharma,3925,Anil Chatterjee,nm0154110,Subrata Sensharma,nm0784478,Kanchenjungha,1962,1
150,Anil Chatterjee Tapan Chatterjee,1963,Anil Chatterjee,nm0154110,Tapan Chatterjee,nm0154170,The Big City,1963,1
151,Aparna Sen Ajit Banerjee,1975,Aparna Sen,nm0031967,Ajit Banerjee,nm0051830,The Middleman,1975,1
152,Aparna Sen Anil Chatterjee,1961,Aparna Sen,nm0031967,Anil Chatterjee,nm0154110,Teen Kanya,1961,1
153,Aparna Sen Aparna Sen,5906,Aparna Sen,nm0031967,Aparna Sen,nm0031967,Teen Kanya,1961,1
154,Aparna Sen Aparna Sen,5906,Aparna Sen,nm0031967,Aparna Sen,nm0031967,Days and Nights in the Forest,1970,1
155,Aparna Sen Aparna Sen,5906,Aparna Sen,nm0031967,Aparna Sen,nm0031967,The Middleman,1975,1
156,Aparna Sen Bimal Chatterjee,1975,Aparna Sen,nm0031967,Bimal Chatterjee,nm0154115,The Middleman,1975,1
157,Aparna Sen Dibyendu Chatterjee,1970,Aparna Sen,nm0031967,Dibyendu Chatterjee,nm4814634,Days and Nights in the Forest,1970,1
158,Aparna Sen Dipankar Dey,1975,Aparna Sen,nm0031967,Dipankar Dey,nm0212541,The Middleman,1975,1
159,Aparna Sen Govinda Chakravarti,1961,Aparna Sen,nm0031967,Govinda Chakravarti,nm0149838,Teen Kanya,1961,1
160,Aparna Sen Haridhan Nag,1961,Aparna Sen,nm0031967,Haridhan Nag,nm5570266,Teen Kanya,1961,1
161,Aparna Sen Kali Bannerjee,1961,Aparna Sen,nm0031967,Kali Bannerjee,nm0052332,Teen Kanya,1961,1
162,Aparna Sen Kalyan Sen,1975,Aparna Sen,nm0031967,Kalyan Sen,nm4474657,The Middleman,1975,1
163,Aparna Sen Kartik Chatterjee,1975,Aparna Sen,nm0031967,Kartik Chatterjee,nm0154135,The Middleman,1975,1
164,Aparna Sen Khagen Pathak,3936,Aparna Sen,nm0031967,Khagen Pathak,nm0665546,Teen Kanya,1961,1
165,Aparna Sen Khagen Pathak,3936,Aparna Sen,nm0031967,Khagen Pathak,nm0665546,The Middleman,1975,1
166,Aparna Sen Mani Srimani,1975,Aparna Sen,nm0031967,Mani Srimani,nm0820248,The Middleman,1975,1
167,Aparna Sen Nripati Chatterjee,1961,Aparna Sen,nm0031967,Nripati Chatterjee,nm0154142,Teen Kanya,1961,1
168,Aparna Sen Padmadevi,1975,Aparna Sen,nm0031967,Padmadevi,nm0222471,The Middleman,1975,1
169,Aparna Sen Pahadi Sanyal,1970,Aparna Sen,nm0031967,Pahadi Sanyal,nm0764406,Days and Nights in the Forest,1970,1
170,Aparna Sen Rabi Ghosh,3945,Aparna Sen,nm0031967,Rabi Ghosh,nm0315917,Days and Nights in the Forest,1970,1
171,Aparna Sen Rabi Ghosh,3945,Aparna Sen,nm0031967,Rabi Ghosh,nm0315917,The Middleman,1975,1
172,Aparna Sen Santosh Dutta,1961,Aparna Sen,nm0031967,Santosh Dutta,nm0244904,Teen Kanya,1961,1
173,Aparna Sen Satya Banerjee,1975,Aparna Sen,nm0031967,Satya Banerjee,nm0051810,The Middleman,1975,1
174,Aparna Sen Sharmila Tagore,1970,Aparna Sen,nm0031967,Sharmila Tagore,nm0846616,Days and Nights in the Forest,1970,1
175,Aparna Sen Soven Lahiri,3956,Aparna Sen,nm0031967,Soven Lahiri,nm0481574,The Middleman,1975,1
176,Aparna Sen Soven Lahiri,3956,Aparna Sen,nm0031967,Soven Lahiri,nm0481574,Pikoor Diary,1981,1
177,Aparna Sen Subhendu Chatterjee,1970,Aparna Sen,nm0031967,Subhendu Chatterjee,nm0154166,Days and Nights in the Forest,1970,1
178,Aparna Sen Utpal Dutt,1975,Aparna Sen,nm0031967,Utpal Dutt,nm0244884,The Middleman,1975,1
179,Aparna Sen Uttamram Nagar,1975,Aparna Sen,nm0031967,Uttamram Nagar,nm1840054,The Middleman,1975,1
180,Aparna Sen Victor Banerjee,1981,Aparna Sen,nm0031967,Victor Banerjee,nm0051856,Pikoor Diary,1981,1
181,Ashok Mitra Abani Mukherjee,1969,Ashok Mitra,nm1371495,Abani Mukherjee,nm0611505,The Adventures of Goopy and Bagha,1969,1
182,Ashok Mitra Ajoy Banerjee,1969,Ashok Mitra,nm1371495,Ajoy Banerjee,nm0051831,The Adventures of Goopy and Bagha,1969,1
183,Ashok Mitra Anil Chatterjee,1963,Ashok Mitra,nm1371495,Anil Chatterjee,nm0154110,The Big City,1963,1
184,Ashok Mitra Ashok Mitra,5898,Ashok Mitra,nm1371495,Ashok Mitra,nm1371495,The Adventures of Goopy and Bagha,1969,1
185,Ashok Mitra Ashok Mitra,5898,Ashok Mitra,nm1371495,Ashok Mitra,nm1371495,Nayak: The Hero,1966,1
186,Ashok Mitra Ashok Mitra,5898,Ashok Mitra,nm1371495,Ashok Mitra,nm1371495,The Big City,1963,1
187,Ashok Mitra Bireswar Sen,1966,Ashok Mitra,nm1371495,Bireswar Sen,nm0784001,Nayak: The Hero,1966,1
188,Ashok Mitra Dhritiman Chatterjee,1970,Ashok Mitra,nm1371495,Dhritiman Chatterjee,nm0154122,The Adversary,1970,1
189,Ashok Mitra Dibyendu Chatterjee,1970,Ashok Mitra,nm1371495,Dibyendu Chatterjee,nm4814634,The Adversary,1970,1
190,Ashok Mitra Gitali Roy,3930,Ashok Mitra,nm1371495,Gitali Roy,nm0747030,The Big City,1963,1
191,Ashok Mitra Gitali Roy,3930,Ashok Mitra,nm1371495,Gitali Roy,nm0747030,The Zoo,1967,1
192,Ashok Mitra Gopal Dey,3935,Ashok Mitra,nm1371495,Gopal Dey,nm0223342,The Adventures of Goopy and Bagha,1969,1
193,Ashok Mitra Gopal Dey,3935,Ashok Mitra,nm1371495,Gopal Dey,nm0223342,Nayak: The Hero,1966,1
194,Ashok Mitra Govinda Chakravarti,1969,Ashok Mitra,nm1371495,Govinda Chakravarti,nm0149838,The Adventures of Goopy and Bagha,1969,1
195,Ashok Mitra Haridhan Mukherjee,1969,Ashok Mitra,nm1371495,Haridhan Mukherjee,nm0154128,The Adventures of Goopy and Bagha,1969,1
